ID,x1_,x2_,y1_,y2_,sl_,ta_,species,lat,long,sex,migrant,time_diff,date,timestamp_hour,burst_,t1_,t2_,dt_,nsd_,case_,step_id_,cos_ta_,log_sl_,sl_dist_shape,sl_dist_scale,ta_dist_kappa,ta_dist_mu
SW40,703974.9,708964.6189651416,9806914.0,9804988.162886336,5348.471177771973,0.1184756057228545,WB,-1.748711906821064,34.83436110973961,F,migrant,0.0008333333333333334,2016-09-26,2016-09-26T05:00:00Z,21,2016-09-26T04:30:00Z,2016-09-27T04:30:00Z,86400,2307463893.64,False,504,0.9929899708537188,8.584566037888434,1.3872470689211824,3935.117000327814,0.8000184721135702,0
SW40,703974.9,708328.9969958836,9806914.0,9807977.196402987,4482.024904090573,0.7263175326181184,WB,-1.748711906821064,34.83436110973961,F,migrant,0.0008333333333333334,2016-09-26,2016-09-26T05:00:00Z,21,2016-09-26T04:30:00Z,2016-09-27T04:30:00Z,86400,2307463893.64,False,504,0.7476250699859412,8.407830210813657,1.3872470689211824,3935.117000327814,0.8000184721135702,0
SW40,703974.9,706123.9465453557,9806914.0,9810628.914313613,4291.735011809804,1.5331631680026303,WB,-1.748711906821064,34.83436110973961,F,migrant,0.0008333333333333334,2016-09-26,2016-09-26T05:00:00Z,21,2016-09-26T04:30:00Z,2016-09-27T04:30:00Z,86400,2307463893.64,False,504,0.0376242763986454,8.36444636181892,1.3872470689211824,3935.117000327814,0.8000184721135702,0
SW40,703974.9,714703.8874532694,9806914.0,9805532.556832714,10817.557811116782,0.3587676855313791,WB,-1.748711906821064,34.83436110973961,F,migrant,0.0008333333333333334,2016-09-26,2016-09-26T05:00:00Z,21,2016-09-26T04:30:00Z,2016-09-27T04:30:00Z,86400,2307463893.64,False,504,0.9363302255767716,9.288925816306325,1.3872470689211824,3935.117000327814,0.8000184721135702,0
SW40,703974.9,702639.2418718222,9806914.0,9805344.681319917,2060.762906068468,-1.7891115602915475,WB,-1.748711906821064,34.83436110973961,F,migrant,0.0008333333333333334,2016-09-26,2016-09-26T05:00:00Z,21,2016-09-26T04:30:00Z,2016-09-27T04:30:00Z,86400,2307463893.64,False,504,-0.2165851548097677,7.63083153597536,1.3872470689211824,3935.117000327814,0.8000184721135702,0
SW40,703974.9,710609.8577623769,9806914.0,9804080.8211552,7214.538576731908,0.083251097135454,WB,-1.748711906821064,34.83436110973961,F,migrant,0.0008333333333333334,2016-09-26,2016-09-26T05:00:00Z,21,2016-09-26T04:30:00Z,2016-09-27T04:30:00Z,86400,2307463893.64,False,504,0.9965366284184012,8.883853515833959,1.3872470689211824,3935.117000327814,0.8000184721135702,0
SW40,705336.1,704975.6,9803621.0,9804224.0,702.5448384267014,-2.99473160485672,WB,-1.7784768527548651,34.84662251750862,F,migrant,0.0008333333333333334,2016-09-27,2016-09-27T05:00:00Z,21,2016-09-27T04:30:00Z,2016-09-28T04:30:00Z,86400,2366207888.69,True,505,-0.9892352849968312,6.554709226112972,1.3872470689211824,3935.117000327814,0.8000184721135702,0
SW40,705336.1,714829.2085917812,9803621.0,9797004.99514511,11571.111916115186,0.5701639423915598,WB,-1.7784768527548651,34.84662251750862,F,migrant,0.0008333333333333334,2016-09-27,2016-09-27T05:00:00Z,21,2016-09-27T04:30:00Z,2016-09-28T04:30:00Z,86400,2366207888.69,False,505,0.8418124952801017,9.35626691895083,1.3872470689211824,3935.117000327814,0.8000184721135702,0
SW40,705336.1,697726.9680912115,9803621.0,9792727.538046757,13287.829082740562,-1.0016932826235156,WB,-1.7784768527548651,34.84662251750862,F,migrant,0.0008333333333333334,2016-09-27,2016-09-27T05:00:00Z,21,2016-09-27T04:30:00Z,2016-09-28T04:30:00Z,86400,2366207888.69,False,505,0.5388766837734276,9.494603788683358,1.3872470689211824,3935.117000327814,0.8000184721135702,0
SW40,705336.1,719611.4836669252,9803621.0,9797484.8033735,15538.32320030012,0.7728576910612367,WB,-1.7784768527548651,34.84662251750862,F,migrant,0.0008333333333333334,2016-09-27,2016-09-27T05:00:00Z,21,2016-09-27T04:30:00Z,2016-09-28T04:30:00Z,86400,2366207888.69,False,505,0.7159184014995223,9.651064715931192,1.3872470689211824,3935.117000327814,0.8000184721135702,0
SW40,705336.1,703525.0709460023,9803621.0,9798539.687950367,5394.400650689846,-0.7343453274947551,WB,-1.7784768527548651,34.84662251750862,F,migrant,0.0008333333333333334,2016-09-27,2016-09-27T05:00:00Z,21,2016-09-27T04:30:00Z,2016-09-28T04:30:00Z,86400,2366207888.69,False,505,0.7422696093712605,8.593116778043575,1.3872470689211824,3935.117000327814,0.8000184721135702,0
SW40,705336.1,711604.6933216874,9803621.0,9795490.229736105,10266.678494866475,0.2648166836905895,WB,-1.7784768527548651,34.84662251750862,F,migrant,0.0008333333333333334,2016-09-27,2016-09-27T05:00:00Z,21,2016-09-27T04:30:00Z,2016-09-28T04:30:00Z,86400,2366207888.69,False,505,0.9651404969055952,9.236658832390276,1.3872470689211824,3935.117000327814,0.8000184721135702,0
SW40,705336.1,707586.9247344318,9803621.0,9801450.37518794,3126.9512404039288,0.4115632721200332,WB,-1.7784768527548651,34.84662251750862,F,migrant,0.0008333333333333334,2016-09-27,2016-09-27T05:00:00Z,21,2016-09-27T04:30:00Z,2016-09-28T04:30:00Z,86400,2366207888.69,False,505,0.916496567582438,8.047813764245104,1.3872470689211824,3935.117000327814,0.8000184721135702,0
SW40,705336.1,704877.0308331813,9803621.0,9803042.091695491,738.8364669890018,-1.0624243552876025,WB,-1.7784768527548651,34.84662251750862,F,migrant,0.0008333333333333334,2016-09-27,2016-09-27T05:00:00Z,21,2016-09-27T04:30:00Z,2016-09-28T04:30:00Z,86400,2366207888.69,False,505,0.4867557476341797,6.60507660686465,1.3872470689211824,3935.117000327814,0.8000184721135702,0
SW40,705336.1,705520.1005119511,9803621.0,9802724.421972122,915.2640867385486,-0.1895569131633736,WB,-1.7784768527548651,34.84662251750862,F,migrant,0.0008333333333333334,2016-09-27,2016-09-27T05:00:00Z,21,2016-09-27T04:30:00Z,2016-09-28T04:30:00Z,86400,2366207888.69,False,505,0.9820878196084232,6.819212643019351,1.3872470689211824,3935.117000327814,0.8000184721135702,0
